Duration (in seconds),LocationLatitude,LocationLongitude,QualtricsFraudScore,Age,Male,Female,NonBinary,CollegeEducation,Hispanic,White,Black,Native,Asian,AAPI,RaceNA,LibCon,IncomeUAS,ManipText,ControlText,GovEnvSpend,EnvReg,GovActionRisingTemps,Hopeful,Fearful,Sadness,Helplessness,Guilty,Optimistic,Skepticism,Angry,ImportantLeavePositiveLegacy,ImportantPositiveSocietyImpact,CareFutureGenerationsThoughts,ClimateImpactFutureGenerations,CandidateVote,Serious
21,37.7771,-122.406,0,30,,Female,,2,Yes,White,,,,,,1,5000,,,,,,,,,,,,,,,,,,,
27,33.7838,-84.4455,0,33,,Female,,2,No,,Black or African America,,,,,4,15000,,,,,,,,,,,,,,,,,,,
65,41.1095,-104.8157,0,71,Male,,,2,No,White,,,,,,4,20000,,,,,,,,,,,,,,,,,,,
123,37.6921,-81.624,0,68,,Female,,2,No,White,,,,,,4,15000,,,,,,,,,,,,,,,,,,,
39,38.6446,-121.2722,0,49,,Female,,2,No,White,,,,,,3,10000,,,,,,,,,,,,,,,,,,,
350,33.4443,-86.7536,0,62,,Female,,"No, I do not have a college degree",No,White,,,,,,6,75000,Positive influence for me and I apologize on my behalf and apologize to you about starting the process again because they make you want it all the benefits you can get started happening with your purchase id you will definitely need anything from me know that you claimed to have the information on that email address and it ,,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,Donald Trump,Yes
230,29.8834,-95.4553,0,29,Male,,,2,No,,Black or African America,,,,,3,7500,,,,,,,,,,,,,,,,,,,
65,42.2186,-89.0465,0,41,,Female,,2,No,,Black or African America,,,,,4,35000,,,,,,,,,,,,,,,,,,,
357,39.847,-85.9719,0,53,,Female,,2,No,White,,,,,,7,60000,I want to be remembered as someone who is Christian  never got to do things I wanted to do it is very important for me ro stay religious these questions are quite hard to answer at times what else can I add to this i cannot write a 300 wordparagraph this is all i can think of  particular situation Christian person that is all,,1,5,1,4,2,2,2,2,4,3,3,4,4,4,4,Donald Trump,Yes
19,32.9657,-96.8834,0,37,,Female,,2,Yes,White,,American Indian or Native Alaskan,,,,1,35000,,,,,,,,,,,,,,,,,,,
54,37.6868,-122.1496,0,75,Male,,,2,No,White,,,,,,4,35000,,,,,,,,,,,,,,,,,,,
65,35.1796,-80.8459,0,76,,Female,,2,No,White,,,,,,4,12500,,,,,,,,,,,,,,,,,,,
43,30.5154,-97.6689,0,76,Male,,,"No, I do not have a college degree",No,White,,,,,,4,75000,,,,,,,,,,,,,,,,,,,
52,36.2155,-85.5426,5,39,,Female,,2,No,White,,,,,,4,5000,,,,,,,,,,,,,,,,,,,
49,35.7767,-90.7694,0,35,,Female,,2,No,White,,,,,,1,50000,,,,,,,,,,,,,,,,,,,
36,43.1394,-77.6463,0,66,,Female,,"No, I do not have a college degree",No,,Black or African America,,,,,4,35000,,,,,,,,,,,,,,,,,,,
30,40.6295,-74.0938,0,76,Male,,,2,No,White,,,,,,3,30000,,,,,,,,,,,,,,,,,,,
33,42.0441,-91.6006,0,37,,Female,,2,No,White,,,,,,4,30000,,,,,,,,,,,,,,,,,,,
107,35.9806,-78.8426,0,81,,Female,,2,No,White,,,,,,3,30000,,,,,,,,,,,,,,,,,,,
37,40.0233,-83.0859,0,75,,Female,,"No, I do not have a college degree",No,White,,,,,,3,35000,,,,,,,,,,,,,,,,,,,
452,28.0386,-82.3696,0,72,,Female,,2,No,White,,,,,,5,35000,,"We are making scrambled eggs for one. Take out two eggs from the refrigerator and crack them into a small bowl. I like to use milk instead of water in my eggs so pour enough milk in to cover just the tops of both eggs. Take out a whisk or a fork and whisk them carefully together until you have a nice, even yellow color.  Pour the mixture into a frying pan that is turned on low to medium low on your stove. Let them cook for about a minute and take a spatula and start mixing them until the eggs start to harden to the degree that you would like to eat them. Then remove them from the pan and add to your plate.",6,7,6,3,2,2,2,2,3,3,3,7,7,6,7,Kamala Harris,Yes
39,41.804,-87.707,0,61,Male,,,2,No,White,,,,,,4,60000,,,,,,,,,,,,,,,,,,,
76,40.4064,-79.9856,0,40,,Female,,"No, I do not have a college degree",No,White,,,,,,3,40000,,,,,,,,,,,,,,,,,,,
414,29.8237,-81.3241,0,67,,Female,,"No, I do not have a college degree",No,White,,,,,,5,200000,,"I am not a very good cook, but I do eat organic, cage free eggs. When I make these for breakfast, I generally mix one whole egg with one egg white. I whip that together. Then I take a small frying pan and coat it with olive oil spray, I put the mixture in and make fluffy, scrambled eggs, sometimes adding some diced veggies, so it becomes more of an omelet. I may use a light shake of sea salt and then I serve this with some Dave's Killer bread toast. I would not win any awards with my eggs, but I tend to prefer them on the plain side. I used to add some cheese, but now stay away due to the cholesterol. If you have more people, you will need to add alot more eggs to this mixture... and more toast.",4,3,4,4,2,2,2,1,4,3,2,5,4,5,4,Donald Trump,Yes
46,42.3761,-83.0775,0,36,,Female,,2,No,,Black or African America,,,,,4,7500,,,,,,,,,,,,,,,,,,,
30,39.0169,-94.3137,0,43,Male,,,2,No,White,,,,,,4,35000,,,,,,,,,,,,,,,,,,,
163,37.3177,-122.0438,0,69,Male,,,"No, I do not have a college degree",No,,,,Asian,,,4,100000,,,,,,,,,,,,,,,,,,,
40,42.5334,-70.9653,0,60,Male,,,"No, I do not have a college degree",No,White,,,,,,4,60000,,,,,,,,,,,,,,,,,,,
27,30.5179,-87.2253,0,71,,Female,,2,No,White,,,,,,2,100000,,,,,,,,,,,,,,,,,,,
39,34.0014,-84.0144,0,58,,Female,,2,No,White,,,,,,4,7500,,,,,,,,,,,,,,,,,,,
40,45.4752,-122.5561,0,36,,Female,,"No, I do not have a college degree",No,White,,,,,,1,50000,,,,,,,,,,,,,,,,,,,
21,26.2472,-80.2045,0,,,,,,,,,,,,,,200000,,,,,,,,,,,,,,,,,,,
43,36.7969,-76.1797,0,63,,Female,,"No, I do not have a college degree",No,White,,,,,,2,75000,,,,,,,,,,,,,,,,,,,
28,39.1408,-84.471,0,50,,Female,,2,No,White,,,,,,4,100000,,,,,,,,,,,,,,,,,,,
44,36.2742,-87.0642,0,62,Male,,,2,No,White,,,,,,1,20000,,,,,,,,,,,,,,,,,,,
30,40.3496,-74.2849,0,58,Male,,,"No, I do not have a college degree",No,White,,,,,,4,100000,,,,,,,,,,,,,,,,,,,
36,32.8458,-83.6762,0,63,Male,,,2,No,,,,Asian,,,2,12500,,,,,,,,,,,,,,,,,,,
638,42.9723,-85.9536,0,66,Male,,,2,No,White,,,,,,6,50000,Being a good husband and fathers a good  provider a hard working person and a honest person a person who has a clean criminal record and a history of being a good American and a person a clean and sober person who believes in God who could give the best advice that always leads a person in the right direction on life ,,4,4,4,3,3,3,3,3,3,3,3,6,6,6,5,Donald Trump,Yes
6,33.0273,-80.1768,0,,,,,,,,,,,,,,200000,,,,,,,,,,,,,,,,,,,
65,41.9345,-88.004,0,66,,Female,,2,No,White,,,,,,4,60000,,,,,,,,,,,,,,,,,,,
310,42.6002,-83.0033,0,41,Male,,,"No, I do not have a college degree",No,White,Black or African America,,,,,7,200000,,"i like my eggs scrambled with some salt and pepper on the for taste of course put it in a pan apply heat cook a very low tempter , i like to add some cheeses , make sure you have a spatula to flip your eggs The estimated time for the eggs to cook very on the tempters of you stove or whatever you are using to heat the pan. You can also spice it up a little  by adding some milk    ",4,6,7,3,3,3,3,3,3,2,2,5,6,5,3,Donald Trump,Yes
29,33.5879,-117.6974,0,69,,Female,,2,No,White,,,,,,4,35000,,,,,,,,,,,,,,,,,,,
54,42.2876,-83.3734,0,57,,Female,,2,No,,Black or African America,,,,,4,25000,,,,,,,,,,,,,,,,,,,
73,39.9484,-74.9875,0,66,,Female,,2,No,White,,,,,,4,30000,,,,,,,,,,,,,,,,,,,
1373,30.45,-81.6624,0,58,,Female,,2,No,White,,,,,,6,75000,Remember to live by respect and dignity and never cave to what you believe is right. You will have always have challenges and not so good  days but remember that they will always pass. You'll look back and none of it will matter if you do what's right. Never forget the sacrifices of your family which you may not know about. Keep your faith in God foremost. ,,3,5,3,2,1,1,1,1,1,3,1,6,4,5,3,Donald Trump,Yes
1010,45.2879,-122.5356,0,69,,Female,,2,No,White,,,,,,6,40000,I want to be remembered for all of the hard work that I have done and also how it is that I treat people. I also want to be remembered for how funny that I always was. I also want to be remembered for how close I have always been to my family. I also want to be remembered for how honest and reliable I have always been. I also want to be remembered for how caring I have been. I also want to be remembered for how unselfish of a person I have always been. ,,4,4,4,3,2,2,2,1,3,3,2,6,4,5,2,Donald Trump,Yes
360,41.4139,-75.6827,0,34,,Female,,2,No,White,,,,,,6,100000,Helping people come to terms with being lied to for years and decades leaning the truth knowing the truth myself before a lot of people as well a lot of people in which knew before me also. Being part of the awakening The Great Awakening more specifically following Q also known as 17 seventeen!! That seems like it just a conspiracy theory to a whole lot lot of people but it is indeed legitimate and real and in no way a conspiracy theory or a LARP either in which Latp stands for Live Action Role Play,,4,5,5,3,4,3,3,3,4,3,4,5,5,6,5,Donald Trump,Yes
19,34.6224,-98.3913,0,38,,Female,,"No, I do not have a college degree",No,,Black or African America,,,,,4,25000,,,,,,,,,,,,,,,,,,,
48,33.5088,-112.1392,0,63,Male,,,2,No,White,,,,,,4,12500,,,,,,,,,,,,,,,,,,,
6,41.2382,-76.9978,0,,,,,,,,,,,,,,200000,,,,,,,,,,,,,,,,,,,
110,40.2861,-84.1729,0,59,,Female,,"No, I do not have a college degree",No,White,,,,,,4,5000,,,,,,,,,,,,,,,,,,,
32,34.9251,-80.7278,0,30,,Female,,"No, I do not have a college degree",No,,Black or African America,,,,,3,10000,,,,,,,,,,,,,,,,,,,
31,38.5943,-90.2321,0,53,,Female,,"No, I do not have a college degree",No,,Black or African America,,,,,4,12500,,,,,,,,,,,,,,,,,,,
63,39.9495,-75.1719,0,88,Male,,,"No, I do not have a college degree",No,White,,,,,,4,60000,,,,,,,,,,,,,,,,,,,
428,35.3352,-97.4789,0,71,,Female,,2,No,White,,,,,,7,150000,,Put a low fire under a skillet and put a little butter in the skillet. Crack your eggs in a bowl and put a little salt and pepper in the eggs and wisk them together. Pour them in the skillet and wisk until they form a soft egg and stay together. You can add a little cheddar cheese on top and serve. Delish!!!,3,3,3,1,1,1,1,1,1,1,1,5,4,5,2,I did not vote,Yes
29,44.7383,-93.2961,0,65,,Female,,2,No,White,,,,,,4,12500,,,,,,,,,,,,,,,,,,,
61,36.2709,-115.28,0,73,Male,,,"No, I do not have a college degree",No,White,,,,,,4,50000,,,,,,,,,,,,,,,,,,,
720,28.0036,-82.5592,0,62,Male,,,2,No,White,,,,,,5,100000,"I hope to be remembered by my friends and family first and foremost for my love of God and His Messiah Jesus Christ. Beyond that but also part and parcel of that is being remembered for my love of my family, my friends and my neighbor AKA my fellow man. Although I often struggle to show it I've been blessed with a love for all of God's creations human beings being at the top of the list. I hope to exemplify this by showing unconditional love to my family first and everyone else also. I hope to be able to teach to my children and grandchildren a fraction of the knowledge passed on to me by my parents, grandparents and other family members. Again first and foremost I hope to instill a love of God and His Messiah Jesus. A desire to do His Will above all else. I hope to teach them a strong sense of right and wrong and a desire to help others. And last but not least I hope to teach them self sufficiency. Survival skills in the wilderness and life. ",,1,3,1,5,2,2,1,1,5,5,1,5,5,5,4,I did not vote,Yes
47,39.7764,-86.1077,0,54,Male,,,2,No,,Black or African America,,,,,4,30000,,,,,,,,,,,,,,,,,,,
50,42.3575,-83.2162,0,49,,Female,,2,No,,Black or African America,,,,,4,5000,,,,,,,,,,,,,,,,,,,
102,36.115,-115.2165,0,69,,Female,,2,No,,,American Indian or Native Alaskan,,,,4,60000,,,,,,,,,,,,,,,,,,,
51,28.9341,-81.9599,0,82,Male,,,2,No,White,,,,,,4,40000,,,,,,,,,,,,,,,,,,,
851,34.1423,-87.9886,0,78,,Female,,2,No,White,,,,,,7,20000,,I put oil or butter in a crayon.  I break two eggs and scramble them.  I turn the eye on and heat then pan.  When the oil heats up I scramble the eggs then I season them with salt and pepper.  I get jelly and toast to go with my meal.  I turn on the news on the television.  I make hot coffee to go with my breakfast.  I sit in my chair and begin to enjoy my homemade breakfast of scrambled eggs toast and jelly.,4,3,3,3,1,1,2,1,3,2,1,6,4,6,2,I did not vote,Yes
172,42.2807,-83.7801,0,74,Male,,,"No, I do not have a college degree",No,,Black or African America,,,,,4,15000,,,,,,,,,,,,,,,,,,,
46,39.7932,-86.2132,0,44,,Female,,"No, I do not have a college degree",No,White,,,,,,4,7500,,,,,,,,,,,,,,,,,,,
23,33.9739,-81.2345,0,99,Male,,,"No, I do not have a college degree",Yes,White,,,,,,1,25000,,,,,,,,,,,,,,,,,,,
10,40.9476,-73.8624,0,,,,,,,,,,,,,,200000,,,,,,,,,,,,,,,,,,,
27,38.5915,-75.2913,0,73,,Female,,2,No,White,,,,,,4,25000,,,,,,,,,,,,,,,,,,,
24,33.4656,-111.9956,0,34,,Female,,2,No,White,,,,,,4,7500,,,,,,,,,,,,,,,,,,,
71,40.9481,-73.8875,0,72,,Female,,2,No,White,,,,,,4,100000,,,,,,,,,,,,,,,,,,,
43,46.6099,-112.0244,0,69,Male,,,"No, I do not have a college degree",No,White,,,,,,2,150000,,,,,,,,,,,,,,,,,,,
32,40.7493,-73.9697,0,50,Male,,,"No, I do not have a college degree",No,,,,Asian,,,4,100000,,,,,,,,,,,,,,,,,,,
63,48.7413,-117.4114,0,74,,Female,,2,No,White,,,,,,1,35000,,,,,,,,,,,,,,,,,,,
43,41.5993,-87.3334,0,46,Male,,,"No, I do not have a college degree",No,,Black or African America,,,,,2,NA,,,,,,,,,,,,,,,,,,,
55,42.8984,-85.7223,0,70,,Female,,"No, I do not have a college degree",No,White,,,,,,4,60000,,,,,,,,,,,,,,,,,,,
38,33.6324,-112.1262,0,77,,Female,,"No, I do not have a college degree",Yes,White,,,,,,4,50000,,,,,,,,,,,,,,,,,,,
31,37.751,-97.822,0,32,,Female,,2,No,White,,,,,,4,25000,,,,,,,,,,,,,,,,,,,
37,31.2804,-81.5305,0,57,,Female,,"No, I do not have a college degree",No,,Black or African America,,,,,1,NA,,,,,,,,,,,,,,,,,,,
576,41.7415,-87.5962,0,39,Male,,,"No, I do not have a college degree",No,,Black or African America,,,,,5,35000,,Eggs omelets sausage pork chicken bacan.. cereal is very good to eT during dinner and breakfast. Scramble eggs on stove and cook plus bread. Eggs are good just to eat for the protein. Very good food for the breakfast. Good to have breakfast for protein fir the body. Good food plus egfs sausage bacon. Eggs are expensive now ndays because of inflation plus stagflation. Excellent food is very good. Eggs ,5,3,6,4,2,1,2,2,3,4,1,5,3,2,3,Donald Trump,Yes
29,41.3944,-74.3332,0,40,,Female,,2,Yes,White,,,,,,1,5000,,,,,,,,,,,,,,,,,,,
57,40.1788,-77.0047,0,56,,Female,,2,No,White,,,,,,4,35000,,,,,,,,,,,,,,,,,,,
454,34.3515,-86.0008,0,76,Male,,,2,No,White,,,,,,6,150000,,"Scrambled Eggs
Beat 4 eggs in a bowl
Add a dash of milk
Add salt and pepper to taste
Put butter in a frying pan and heat on low
Add egg mixture and let eggs cook for a minute until set.  Stir gently, don't overmix eggs.  Scramble until softly cooked.  Serve with bacon and toast for a delious breakfast.  Everyone in the family should enjoy.  Don't dry the eggs out.",4,5,4,2,1,1,1,1,1,2,1,7,7,6,5,Donald Trump,Yes
24,30.0466,-94.8852,0,38,,Female,,2,No,White,,,,,,4,5000,,,,,,,,,,,,,,,,,,,
56,28.3695,-80.7402,0,60,Male,,,2,No,White,,,,,,4,5000,,,,,,,,,,,,,,,,,,,
34,40.3061,-75.1483,0,78,,Female,Transgender,"No, I do not have a college degree",No,White,,,,,,4,40000,,,,,,,,,,,,,,,,,,,
24,36.0113,-115.2038,0,41,,Female,,2,No,,Black or African America,,,,,4,40000,,,,,,,,,,,,,,,,,,,
635,37.1062,-81.5054,0,61,,Female,,2,No,White,,,,,,7,30000,"Being  a real good  person  an helping people   in any situation  I can    to be remembered  for the nice person I am for congeering an thing in life  that it trows at in  
my life is getting  things in order  every thing  i have been  trying bto in my arinpaccomplish honar ethe things that's most inportnt ",,7,1,7,5,3,2,3,2,2,2,2,7,7,7,7,Donald Trump,Yes
31,36.2178,-85.5423,0,39,,Female,,2,No,White,,,,,,4,5000,,,,,,,,,,,,,,,,,,,
212,40.7353,-74.0449,0,38,,Female,,2,No,,Black or African America,,,,,7,5000,"My legedncy everything good I want to be remembered for my drawings, trusting and believing in God. I want to be remembered as being a good person, loving , caring , kind, thankful. And being remembered as someone you can trust and that I am loyal. This is more than 300 characters right now that I am typing. And I have explained myself in this message.",,6,7,7,5,5,5,5,5,5,5,5,7,7,7,7,Kamala Harris,No
80,43.0745,-76.1466,0,42,,Female,,"No, I do not have a college degree",No,White,,,,,,4,100000,,,,,,,,,,,,,,,,,,,
51,42.3965,-83.2499,0,66,,Female,,"No, I do not have a college degree",No,White,,,,,,3,15000,,,,,,,,,,,,,,,,,,,
52,40.694,-73.9901,0,37,,Female,,"No, I do not have a college degree",No,White,,,,,,1,200000,,,,,,,,,,,,,,,,,,,
28,29.7229,-98.0742,0,42,,Female,,2,No,White,,,,,,4,5000,,,,,,,,,,,,,,,,,,,
36,33.5038,-112.0253,0,81,,Female,,2,No,White,,,,,,2,150000,,,,,,,,,,,,,,,,,,,
25,42.4509,-73.2495,0,23,,Female,Transgender,"No, I do not have a college degree",No,White,Black or African America,,,,,1,35000,,,,,,,,,,,,,,,,,,,
1101,30.3052,-95.4552,0,47,Male,,,2,No,White,,,,,,5,5000,,"First you get a frying pan. Turn the burner on under the pan. Melt some butter in the pan. Get ur eggs and crack them open and put in the pan. Put about 4 eggs in the pan. Let them cook on low heat. When ready, flip them over for about 30 seconds on that side and then take out the pan and put on a plate. Cut the eggs up into small pieces. Get 4 pieces of bread and put the eggs on the bread and then make 2 sandwiches with the eggs and bread. Then eat and enjoy",1,7,7,3,3,3,3,4,3,3,3,7,5,4,7,I did not vote,Yes
55,39.8291,-86.0859,0,39,,Female,,"No, I do not have a college degree",Yes,White,,,,,,4,10000,,,,,,,,,,,,,,,,,,,
38,33.6026,-84.4769,0,57,,Female,,2,No,White,Black or African America,,,,,4,100000,,,,,,,,,,,,,,,,,,,
54,35.839,-81.496,0,68,,Female,,2,No,White,,,,,,3,25000,,,,,,,,,,,,,,,,,,,
579,42.0774,-71.0446,10,42,,Female,,"No, I do not have a college degree",No,White,,,,,,5,100000,,Cracks eggs and fried ham and cheese with bread i like it thas a good breakfast to Me and My family maybe italy spain germany to be kind to say to europe vacation at europe vacation at summer good services bank of them beatiful day with family right cool enjoy tours begining just be good work to day by day the best thing i ever do ok go again the day was a good day and don't take it personal. Everyday ,5,5,5,4,3,3,3,2,2,4,3,3,4,4,4,Kamala Harris,Yes
25,45.4451,-122.5397,0,24,,Female,,2,No,White,,,,,,3,60000,,,,,,,,,,,,,,,,,,,
16,35.2497,-81.1369,0,24,Male,,,"No, I do not have a college degree",No,,Black or African America,,,,,4,20000,,,,,,,,,,,,,,,,,,,
29,40.94,-75.8209,0,25,Male,,,"No, I do not have a college degree",No,,Black or African America,,,,,2,12500,,,,,,,,,,,,,,,,,,,
84,38.3955,-84.2906,0,50,,Female,,2,No,White,,,,,,4,60000,,,,,,,,,,,,,,,,,,,
26,38.412,-82.3698,0,76,,Female,,2,No,White,,,,,,1,75000,,,,,,,,,,,,,,,,,,,
40,40.75,-95.0404,25,51,Male,,,2,No,White,,,,,,4,30000,,,,,,,,,,,,,,,,,,,
19,42.8858,-87.8631,0,65,,Female,,2,No,White,,,,,,1,100000,,,,,,,,,,,,,,,,,,,
41,33.6111,-84.0683,0,36,,Female,,"No, I do not have a college degree",No,,Black or African America,,,,,4,NA,,,,,,,,,,,,,,,,,,,
42,21.3133,-157.823,0,76,,Female,,2,No,,,,Asian,,,4,30000,,,,,,,,,,,,,,,,,,,
25,33.9675,-118.1464,0,42,,Female,,2,Yes,White,,,,,,2,50000,,,,,,,,,,,,,,,,,,,
324,35.2843,-80.76,0,55,,Female,,2,No,White,,,,,,6,10000,,"When I make scrambled eggs, I break two to three eggs in a bowl and whiskey with a splash of water. I warm up a small skillet and melt a bit if butter in the skillet.  Then I pour the eggs into the skillet and cook on medium low heat. Once the eggs start setting up, I swirl them around and scoop and flip them with a spatula. I continue cooking them until they are just set, then I add shredded cheese and cover the skillet whilst the cheese melts. Then I plate the eggs and enjoy. You can add salt and pepper to your eggs, but I don't like pepper, and to me, the cheese adds enough of a salty flavor. ",1,1,1,3,1,2,1,1,2,1,2,5,5,1,2,Donald Trump,Yes
27,31.7382,-99.9473,0,60,,Female,,"No, I do not have a college degree",No,White,,,,,,3,60000,,,,,,,,,,,,,,,,,,,
47,35.5013,-85.0175,0,53,,Female,,2,No,White,,,,,,4,5000,,,,,,,,,,,,,,,,,,,
28,29.1566,-81.0268,0,67,,Female,,2,No,White,,,,,,4,35000,,,,,,,,,,,,,,,,,,,
53,42.4593,-83.2207,0,61,Male,,,2,No,,Black or African America,,,,,2,30000,,,,,,,,,,,,,,,,,,,
487,44.5928,-123.2746,0,39,Male,,,"No, I do not have a college degree",No,White,,,,,,4,10000,,,,,,,,,,,,,,,,,,,
25,41.4453,-81.6991,0,44,Male,,,"No, I do not have a college degree",No,White,,,,,,4,35000,,,,,,,,,,,,,,,,,,,
25,45.544,-100.4296,0,38,,Female,,"No, I do not have a college degree",Yes,White,,,,,,4,50000,,,,,,,,,,,,,,,,,,,
338,35.5114,-92.043,0,42,,Female,,2,No,White,,,,,,7,35000,Being a good mom. I try so hard to raise them right. I love them with everything in me. I am truly blessed.  It has been so hard but it was completely worth it. I would not trade it for the world. My kids saved my life more than they will ever know. People around me know how much I love them. I had no parents so I try to make sure that my kids never feel that sort of pain,,5,5,5,3,2,3,4,4,3,3,5,6,5,5,6,Donald Trump,Yes
723,30.2486,-92.0974,0,38,,Female,,2,No,,Black or African America,,,,,7,5000,,"First take the eggs and Crack the number of eggs you want to cook. Next season your eggs to your liking. Then you fry your eggs on a low fire and stir the eggs to make sure they don't stick to the pot. Lastly your eggs is ready to be served and to eat too. You can finally served the eggs with the rest of the breakfast sides you are going to eat altogether in the morning at the table together as a family.
You should also  make sure that you cook the eggs to everyone likes the way they like their eggs.
",4,7,7,2,3,2,2,2,3,3,3,7,7,7,7,Kamala Harris,Yes
29,42.4257,-83.1522,0,43,,Female,,"No, I do not have a college degree",No,White,,,,,,3,150000,,,,,,,,,,,,,,,,,,,
44,37.1235,-76.4502,0,68,Male,,,"No, I do not have a college degree",No,White,,,,,,2,50000,,,,,,,,,,,,,,,,,,,
32,40.2332,-76.1372,0,69,Male,,,"No, I do not have a college degree",No,White,,,,,,2,200000,,,,,,,,,,,,,,,,,,,
33,26.2134,-80.2239,0,51,Male,,,2,No,White,,,,,,3,40000,,,,,,,,,,,,,,,,,,,
17,29.5708,-98.1483,0,,,,,,,,,,,,,,200000,,,,,,,,,,,,,,,,,,,
28,45.4383,-122.6147,0,39,,Female,,"No, I do not have a college degree",No,White,,,,,,2,25000,,,,,,,,,,,,,,,,,,,
96,28.8039,-96.9953,0,77,,Female,,"No, I do not have a college degree",No,White,,,,,,2,35000,,,,,,,,,,,,,,,,,,,
22,40.3469,-79.8689,0,29,,Female,,"No, I do not have a college degree",No,White,,,,,,2,5000,,,,,,,,,,,,,,,,,,,
524,33.5885,-117.7,0,43,,Female,,"No, I do not have a college degree",No,White,,,,,,7,150000,,"take 2 eggs. crack them in a bowl. add a tablespoon or (more for creamier eggs) Then, melt in a pan. Meanwhile, Wisk the eggs with a fork. pour the eggs in the pan. Gently move around the eggs til they start to harden. turn off heat and keep turning until your desired texture. Remember, Eggs keep cooking long after you take them off the heat. I like Mine with a sprinkle of parmigiana cheese.",1,5,1,4,1,1,1,1,5,5,1,4,4,1,1,Donald Trump,Yes
44,30.3858,-88.6117,0,61,,Female,,2,No,White,,,,,,1,5000,,,,,,,,,,,,,,,,,,,
65,39.7932,-86.2132,0,68,,Female,,2,No,White,,,,,,4,20000,,,,,,,,,,,,,,,,,,,
33,25.7701,-80.1928,85,25,,Female,,"No, I do not have a college degree",No,,Black or African America,,,,,4,12500,,,,,,,,,,,,,,,,,,,
31,33.7424,-90.7296,0,37,Male,,,2,No,,Black or African America,,,,,4,10000,,,,,,,,,,,,,,,,,,,
66,35.324,-106.7099,0,68,,Female,,2,No,White,,,,,,4,30000,,,,,,,,,,,,,,,,,,,
41,41.7697,-87.6985,0,74,,Female,,2,No,White,,,,,,2,50000,,,,,,,,,,,,,,,,,,,
4133,28.0036,-82.5592,0,49,Male,,,"No, I do not have a college degree",No,White,,,,,,2,100000,,,,,,,,,,,,,,,,,,,
